A document type is required for a DocType node,نوع المستند مطلوب لعقدة من نوع مستند
A driver must be assigned,يجب تعيين سائق
A report name is required for a Report node,اسم التقرير مطلوب لعقدة من نوع تقرير
A single register is limited to 5000 seals,السجل الواحد محدود بـ 5000 ختم
A trip requires at least {0} crew members,تتطلب الرحلة {0} من أفراد الطاقم على الأقل
ATM Replenishment,تغذية الصراف الآلي
Access Protocol,بروتوكول الدخول
Accident,حادث مروري
Acknowledged,تم الإقرار
Acknowledged By,تم الإقرار بواسطة
Acknowledged On,تاريخ الإقرار
Active,نشط
Actual Arrival,الوصول الفعلي
Actual Cost,التكلفة الفعلية
Actual Departure,المغادرة الفعلية
Actual End,النهاية الفعلية
Actual Minutes,الدقائق الفعلية
Actual Start,البداية الفعلية
Ad Valorem,حسب القيمة
Address,العنوان
After Hours,خارج ساعات العمل
Afternoon,بعد الظهر
Age (days),العمر (أيام)
Alert On Entry,تنبيه عند الدخول
Alert On Exit,تنبيه عند الخروج
Alert Time,وقت التنبيه
Alert Type,نوع التنبيه
Alerting,التنبيهات
All checks passed. This trip may be dispatched.,اجتازت جميع الفحوصات. يمكن إرسال هذه الرحلة.
Allow Dispatch Override,السماح بتجاوز بوابة الإرسال
Allowed Roles,الصلاحيات المسموحة
AlphaX CIT,أنظمة نقل الأموال
AlphaX CIT Settings,إعدادات نقل الأموال
AlphaX CIT document,مستند نقل الأموال
Amended From,معدّل من
Amount,المبلغ
Amount From,المبلغ من
Amount To,المبلغ إلى
An override reason is required,سبب التجاوز مطلوب
Android,أندرويد
Api Key,مفتاح الواجهة
App Version,إصدار التطبيق
Applied,مطبّق
Applied On,تاريخ التطبيق
Applied To Stop,مطبق على المحطة
Applies To,ينطبق على
Approval Band,نطاق الاعتماد
Approval Thresholds,حدود الاعتماد
Approve,اعتماد
Approve Discrepancy — {0},اعتماد الفرق — {0}
Approved,معتمد
Approved By,اعتُمد بواسطة
Approved On,تاريخ الاعتماد
Approver Role,صلاحية المعتمد
Approver: {0},المعتمد: {0}
Arabic / English content,المحتوى بالعربية / الإنجليزية
Armed,مسلّح
Armed Escort Required,يتطلب مرافقة مسلحة
Armour Certificate,شهادة التدريع
Armour Service,صيانة التدريع
Arrival Window,نافذة الوصول
Arrived,وصل
Asset Maintenance Log,سجل صيانة الأصل
At Vault,في الخزنة
At least one tariff line is required,مطلوب بند تعرفة واحد على الأقل
Attachment,المرفق
Authorised Receivers,المخوّلون بالاستلام
Authorised To Receive,مخوّل بالاستلام
Auto Renew,تجديد تلقائي
Automatic,تلقائي
Automatic follows each user's language. Force a direction when your team prefers left-to-right screens even while reading Arabic.,«تلقائي» يتبع لغة كل مستخدم. اختر اتجاهاً ثابتاً إذا كان فريقك يفضل شاشات من اليسار إلى اليمين رغم القراءة بالعربية.
Availability,الجاهزية
Availability Status,حالة الجاهزية
Bag No,رقم الكيس
Bag Status,حالة الكيس
Bags,الأكياس
Bags Count,عدد الأكياس
Bags Counted,الأكياس المعدودة
Balanced,مطابق
Band,النطاق
Band Label,اسم النطاق
Bank,البنك
Bank Transaction,حركة بنكية
Base Url,الرابط الأساسي
Billable Lines,البنود القابلة للفوترة
Billed,تمت الفوترة
Billing,الفوترة
Billing Frequency,دورية الفوترة
Billing Item,صنف الفوترة
Billing Status,حالة الفوترة
Block Expired Crew Documents,منع الطاقم ذي الوثائق المنتهية
Block Expired Vehicle Documents,منع المركبات ذات الوثائق المنتهية
Block Overlapping Assignment,منع التعيين المتداخل
Blocks Dispatch,يمنع الإرسال
Branch,الفرع
Breach Date,تاريخ المخالفة
Breakdown,عطل
Broken,مكسور
CIT Alert,تنبيه نقل الأموال
CIT Approval Threshold,حد الاعتماد
CIT Auditor,المدقق
CIT Billing Run,دورة الفوترة
CIT Billing Run Line,بند دورة الفوترة
CIT Cash Counter,عادّ النقد
CIT Cash Discrepancy Ageing,أعمار الفروقات النقدية
CIT Checklist Template,قالب قائمة الفحص
CIT Checklist Template Item,بند قالب قائمة الفحص
CIT Commercial Manager,المدير التجاري
CIT Contract Site,موقع العقد
CIT Control Room,غرفة التحكم
CIT Crew,طاقم ميداني
CIT Denomination Count,عد الفئات النقدية
CIT Device,جهاز الطاقم
CIT Discrepancy,فرق نقدي
CIT Dispatcher,مسؤول الإرسال
CIT Finance,المالية
CIT Fleet Compliance Cockpit,لوحة امتثال الأسطول
CIT Fleet Controller,مراقب الأسطول
CIT Fuel Entry,قيد وقود
CIT Incident,حادثة
CIT Job,طلب خدمة
CIT Journey,رحلة نقل الأموال
CIT Maintenance Request,طلب صيانة
CIT Manager,مدير نقل الأموال
CIT Node Role,صلاحية العقدة
CIT POD,إثبات التسليم
CIT POD Bag,كيس إثبات التسليم
CIT POD Photo,صورة إثبات التسليم
CIT Process Flow,خريطة العملية
CIT Process Node,عقدة العملية
CIT Process Stage,مرحلة العملية
CIT SLA Breach,مخالفة مستوى الخدمة
CIT SLA Target,هدف مستوى الخدمة
CIT Service Contract,عقد الخدمة
CIT Service Type,نوع الخدمة
CIT Site Contact,جهة اتصال الموقع
CIT Sync Event,حدث المزامنة
CIT Tariff Line,بند التعرفة
CIT Trip,رحلة
CIT Trip Checklist Item,بند فحص الرحلة
CIT Trip Crew,طاقم الرحلة
CIT Trip Performance,أداء الرحلات
CIT Trip Stop,محطة الرحلة
CIT Vault,الخزنة
CIT Vault Controller,مراقب الخزنة
CIT discrepancy {0} ({1}),فرق نقدي {0} ({1})
Calendar,التقويم
Cancel the trip {0} before cancelling this job,ألغِ الرحلة {0} قبل إلغاء هذا الطلب
Cancelled,ملغى
Cannot move a trip from {0} to {1},لا يمكن نقل الرحلة من {0} إلى {1}
Caption,الوصف
Captured By,سُجّل بواسطة
Cash & Vault,النقد والخزنة
Cash Account,حساب النقد
Cash Bag,كيس نقدي
Cash Controls,ضوابط النقد
Cash Custody Entry,قيد العهدة
Cash in Transit,نقل الأموال
Chain broken at {0} after {1} entries.,انقطعت السلسلة عند {0} بعد {1} قيداً.
